sra_sname	treatment	sex	age	rank	DSI_F	Flow_PC1	Flow_PC2	Flow_PC3	year
AMB_21_NULL	NULL	M	7.1895961670089	17	NA	-1.93125612108968	-1.52512828990875	0.71265915753518	2013
AMB_22_LPS	LPS	M	7.68514715947981	17	NA	0.216009684588867	-2.28781421243504	-1.04298304368836	2014
AMB_22_NULL	NULL	M	7.68514715947981	17	NA	0.216009684588867	-2.28781421243504	-1.04298304368836	2014
AMB_23_LPS	LPS	F	11.3675564681725	19	0.472834384922824	-0.945990316522574	0.127309247541282	0.562121069632495	2014
AMB_23_NULL	NULL	F	11.3675564681725	19	0.472834384922824	-0.945990316522574	0.127309247541282	0.562121069632495	2014
AMB_24_LPS	LPS	F	5.00752908966461	11	0.324585583151784	1.28728329095638	-0.971949559265096	1.75161634796124	2016
AMB_24_NULL	NULL	F	5.00752908966461	11	0.324585583151784	1.28728329095638	-0.971949559265096	1.75161634796124	2016
AMB_25_LPS	LPS	F	18.0479123887748	17	0.924308968757849	0.0464154978536371	-0.123775639750197	-0.0240134028111836	2015
AMB_25_NULL	NULL	F	18.0479123887748	17	0.924308968757849	0.0464154978536371	-0.123775639750197	-0.0240134028111836	2015
AMB_26_LPS	LPS	M	12.5639972621492	4	NA	0.88936669411549	-0.762692305310223	1.23795634039945	2014
AMB_26_NULL	NULL	M	12.5639972621492	4	NA	0.88936669411549	-0.762692305310223	1.23795634039945	2014
AMB_27_LPS	LPS	M	17.2210814510609	6	NA	3.01536666266267	0.310424004920625	1.11409403651116	2014
AMB_27_NULL	NULL	M	17.2210814510609	6	NA	3.01536666266267	0.310424004920625	1.11409403651116	2014
AMB_28_LPS	LPS	M	9.56331279945243	1	NA	2.08501359023696	0.49126403683085	0.783836648298004	2014
AMB_28_NULL	NULL	M	9.56331279945243	1	NA	2.08501359023696	0.49126403683085	0.783836648298004	2014
AMB_29_LPS	LPS	M	11.9507186858316	3	NA	0.823807170728917	-0.561537784522314	0.162616586975272	2015
AMB_29_NULL	NULL	M	11.9507186858316	3	NA	0.823807170728917	-0.561537784522314	0.162616586975272	2015
AMB_30_LPS	LPS	F	5.59069130732375	16	1.62204097457965	-1.2924338552596	-0.219598828716434	0.711817149555272	2015
AMB_30_NULL	NULL	F	5.59069130732375	16	1.62204097457965	-1.2924338552596	-0.219598828716434	0.711817149555272	2015
AMB_31_LPS	LPS	F	5.84531143052704	8	1.52351889397261	-0.0485515271708825	-0.58366445264676	1.54017202404621	2014
AMB_31_NULL	NULL	F	5.84531143052704	8	1.52351889397261	-0.0485515271708825	-0.58366445264676	1.54017202404621	2014
AMB_32_LPS	LPS	M	8.05475701574264	1	NA	0.81676800259548	-0.498619647713805	-2.09324234315396	2016
AMB_32_NULL	NULL	M	8.05475701574264	1	NA	0.81676800259548	-0.498619647713805	-2.09324234315396	2016
AMB_33_LPS	LPS	M	8.80766598220397	2	NA	0	0	0	2016
AMB_33_NULL	NULL	M	8.80766598220397	2	NA	0	0	0	2016
AMB_34_LPS	LPS	F	17.4017796030116	6	-0.557417337814303	-0.871756378191633	-2.30160936256146	-1.43996160733414	2015
AMB_34_NULL	NULL	F	17.4017796030116	6	-0.557417337814303	-0.871756378191633	-2.30160936256146	-1.43996160733414	2015
AMB_37_LPS	LPS	M	8.24366872005476	2	NA	0.26499780624073	-0.557703329246091	-0.848528498933378	2014
AMB_37_NULL	NULL	M	8.24366872005476	2	NA	0.26499780624073	-0.557703329246091	-0.848528498933378	2014
AMB_38_LPS	LPS	F	15.0554414784394	3	0.956211009615679	1.08475755101865	0.217424284854316	-0.113181104734501	2016
AMB_38_NULL	NULL	F	15.0554414784394	3	0.956211009615679	1.08475755101865	0.217424284854316	-0.113181104734501	2016
AMB_39_LPS	LPS	F	5.71937029431896	6	1.44707698709226	-0.899916320160972	0.137254687523182	0.959334571756588	2016
AMB_39_NULL	NULL	F	5.71937029431896	6	1.44707698709226	-0.899916320160972	0.137254687523182	0.959334571756588	2016
AMB_40_LPS	LPS	F	4.68720054757016	2	1.39079866580583	-0.873263004773334	1.13740844451245	0.280847743337809	2016
AMB_40_NULL	NULL	F	4.68720054757016	2	1.39079866580583	-0.873263004773334	1.13740844451245	0.280847743337809	2016
AMB_41_LPS	LPS	M	7.00616016427105	12	NA	0	0	0	2014
AMB_41_NULL	NULL	M	7.00616016427105	12	NA	0	0	0	2014
